in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
South,30%,Top,0cm,40%,No_Lighting_Control,50.44,0,118.6,6.6,42,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
East,30%,Top,0cm,40%,No_Lighting_Control,46.14,9.89,114.8,6.7,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
North,30%,Top,0cm,40%,No_Lighting_Control,61.38,24.8,108.8,7.3,35.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
West,30%,Top,0cm,40%,No_Lighting_Control,55.52,19.21,115.5,7,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
South,40%,Top,0cm,40%,No_Lighting_Control,54.1,0,120.2,6.7,47.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
East,40%,Top,0cm,40%,No_Lighting_Control,58.6,12.53,115.5,6.8,42.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
North,40%,Top,0cm,40%,No_Lighting_Control,70.19,30.49,108,7.5,34.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
West,40%,Top,0cm,40%,No_Lighting_Control,63.92,26.02,116.3,7.2,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
South,50%,Top,0cm,40%,No_Lighting_Control,60.4,0,121.8,7,48.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
East,50%,Top,0cm,40%,No_Lighting_Control,64.8,14.84,116.3,7,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
North,50%,Top,0cm,40%,No_Lighting_Control,78.32,33.47,107.3,7.8,33.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
West,50%,Top,0cm,40%,No_Lighting_Control,70.43,30.96,117.3,7.4,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
South,60%,Top,0cm,40%,No_Lighting_Control,66.84,0,122.7,6.7,49.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
East,60%,Top,0cm,40%,No_Lighting_Control,71.78,16.33,117.1,7.3,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
North,60%,Top,0cm,40%,No_Lighting_Control,93.53,37.3,106,8,31.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
West,60%,Top,0cm,40%,No_Lighting_Control,79.67,34.89,118.2,7.7,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position0_Shade_Depth0_VT0_Lighting_Control0.png
South,30%,Right,0cm,40%,No_Lighting_Control,46.58,0,118.6,6.6,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
East,30%,Right,0cm,40%,No_Lighting_Control,50.2,9.89,114.8,6.7,42,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
North,30%,Right,0cm,40%,No_Lighting_Control,61.48,24.8,108.8,7.3,35.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
West,30%,Right,0cm,40%,No_Lighting_Control,55.32,19.21,115.5,7,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
South,40%,Right,0cm,40%,No_Lighting_Control,54.44,0,120.2,6.7,47.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
East,40%,Right,0cm,40%,No_Lighting_Control,58.5,12.53,115.5,6.8,42.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
North,40%,Right,0cm,40%,No_Lighting_Control,69.88,30.49,108,7.5,34.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
West,40%,Right,0cm,40%,No_Lighting_Control,64.02,26.02,116.3,7.2,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
South,50%,Right,0cm,40%,No_Lighting_Control,60.43,0,121.8,7,48.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
East,50%,Right,0cm,40%,No_Lighting_Control,64.94,14.84,116.3,7,43.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
North,50%,Right,0cm,40%,No_Lighting_Control,78.83,33.47,107.3,7.8,33.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
West,50%,Right,0cm,40%,No_Lighting_Control,71,30.96,117.3,7.4,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
South,60%,Right,0cm,40%,No_Lighting_Control,67.11,0,122.7,6.7,49.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
East,60%,Right,0cm,40%,No_Lighting_Control,71.88,16.33,117.1,7.3,43.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
North,60%,Right,0cm,40%,No_Lighting_Control,93.12,37.3,106,8,31.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
West,60%,Right,0cm,40%,No_Lighting_Control,79.91,34.89,118.2,7.7,44.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position1_Shade_Depth0_VT0_Lighting_Control0.png
South,30%,Left,0cm,40%,No_Lighting_Control,46.51,0,118.6,6.6,45.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
East,30%,Left,0cm,40%,No_Lighting_Control,50.27,9.89,114.8,6.7,42,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
North,30%,Left,0cm,40%,No_Lighting_Control,61.28,24.8,108.8,7.3,35.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
West,30%,Left,0cm,40%,No_Lighting_Control,55.22,19.21,115.5,7,42.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
South,40%,Left,0cm,40%,No_Lighting_Control,54.2,0,120.2,6.7,47.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
East,40%,Left,0cm,40%,No_Lighting_Control,58.33,12.53,115.5,6.8,42.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
North,40%,Left,0cm,40%,No_Lighting_Control,70.29,30.49,108,7.5,34.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
West,40%,Left,0cm,40%,No_Lighting_Control,64.13,26.02,116.3,7.2,43.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth0_VT0_Lighting_Control0.png
